phenomenon,model,n,accuracy,macro_f1
negation,Rule-based,17,0.5882352941176471,0.3233333333333333
negation,TF-IDF + Logistic Regression,17,0.8823529411764706,0.46875
negation,Finance BERT,17,1.0,1.0
contrast,Rule-based,17,0.5882352941176471,0.5722222222222223
contrast,TF-IDF + Logistic Regression,17,0.8235294117647058,0.8053872053872054
contrast,Finance BERT,17,0.9411764705882353,0.9301587301587301
expectation,Rule-based,24,0.625,0.56036866359447
expectation,TF-IDF + Logistic Regression,24,0.7083333333333334,0.6691086691086691
expectation,Finance BERT,24,0.75,0.7592592592592592
uncertainty,Rule-based,13,0.8461538461538461,0.48412698412698413
uncertainty,TF-IDF + Logistic Regression,13,0.8461538461538461,0.7045454545454546
uncertainty,Finance BERT,13,0.8461538461538461,0.5824561403508772
