class_id,class_name,rank,feature,coefficient
0,negative,1,down,2.9956409719164574
0,negative,2,decreased,2.4506479542680886
0,negative,3,fell,2.25111936783447
0,negative,4,lower,1.5657554429057305
0,negative,5,down from,1.4982418983820365
0,negative,6,profit,1.4596057129840843
0,negative,7,decreased to,1.276157156039314
0,negative,8,year,1.1510759959307766
0,negative,9,fell by,1.08792051225783
0,negative,10,dropped,1.0552041034533322
0,negative,11,than,1.0359507499702652
0,negative,12,compared to,1.0291005174981107
0,negative,13,mn down,0.9906239101424937
0,negative,14,compared,0.9729068400803509
0,negative,15,due to,0.9568879398522239
0,negative,16,fell to,0.9177299705388006
0,negative,17,profit warning,0.892401349201344
0,negative,18,warning,0.892401349201344
0,negative,19,declined,0.8869305167677768
0,negative,20,from,0.8714795490597836
1,neutral,1,is,2.6780131939104703
1,neutral,2,and,1.3615490886410202
1,neutral,3,of the,1.2693072182432679
1,neutral,4,not,1.2081474717199379
1,neutral,5,approximately,1.1569040532251373
1,neutral,6,be,1.127723212547248
1,neutral,7,includes,0.9085154311764251
1,neutral,8,will be,0.896358707865418
1,neutral,9,will,0.8786770770492948
1,neutral,10,stake,0.8234505770439633
1,neutral,11,no,0.7905880798178997
1,neutral,12,business,0.7889026488897564
1,neutral,13,were,0.7820626371690184
1,neutral,14,include,0.714763684552072
1,neutral,15,other,0.6852194674163435
1,neutral,16,sales of,0.6518739439398047
1,neutral,17,by the,0.6282315354351377
1,neutral,18,and operating,0.6226731337127767
1,neutral,19,investment,0.6099759284140419
1,neutral,20,development,0.6022384481239806
2,positive,1,increase,2.2011903342696835
2,positive,2,rose,2.1137202412054124
2,positive,3,increased,1.9253352991449828
2,positive,4,up,1.9080312257899288
2,positive,5,to,1.8215487270040378
2,positive,6,grew,1.7229755903364843
2,positive,7,up from,1.6177375103888767
2,positive,8,our,1.5914315517451323
2,positive,9,year,1.5015434151675602
2,positive,10,signed,1.4178350878429904
2,positive,11,from,1.3676352425979854
2,positive,12,rose to,1.3629499069229694
2,positive,13,positive,1.2577811164437802
2,positive,14,awarded,1.2116722613665822
2,positive,15,savings,1.079061435097111
2,positive,16,increased by,1.07523430306686
2,positive,17,said,1.0648277990548058
2,positive,18,won,1.041289231027442
2,positive,19,this,1.0007262914528516
2,positive,20,improved,0.9317804206350292
